#Ast,Name,MPC,1st,HMag,G
NEA ,     154656,F4656       ,  0,16.3 ,0.15
NEA ,     154715,F4715       ,  0,18.4 ,0.15
NEA ,     154988,F4988       ,  0,18.4 ,0.15
NEA ,     154991,F4991       ,  0,18.5 ,0.15
NEA ,     155110,F5110       ,  0,17.5 ,0.15
NEA ,     155334,F5334       ,  0,17.1 ,0.15
NEA ,     155336,F5336       ,  0,18.3 ,0.15
NEA ,     159399,F9399       ,  0,16.6 ,0.15
NEA ,     159402,F9402       ,  0,16.1 ,0.15
NEA ,     159454,F9454       ,  0,18.1 ,0.15
NEA ,     159467,F9467       ,  0,18.2 ,0.15
NEA ,     159495,F9495       ,  0,17.2 ,0.15
NEA ,     159504,F9504       ,  0,17.0 ,0.15
NEA ,     159518,F9518       ,  0,17.9 ,0.15
NEA ,     159533,F9533       ,  0,17.6 ,0.15
NEA ,     159560,F9560       ,  0,17.0 ,0.15
NEA ,     159608,F9608       ,  0,16.5 ,0.15
NEA ,     159609,F9609       ,  0,17.1 ,0.15
NEA ,     159635,F9635       ,  0,18.0 ,0.15
NEA ,     159677,F9677       ,  0,19.4 ,0.15
NEA ,     159686,F9686       ,  0,16.2 ,0.15
NEA ,     159699,F9699       ,  0,17.6 ,0.15
NEA ,     161989,G1989       ,  0,17.2 ,0.15
NEA ,     161995,G1995       ,  0,17.2 ,0.15
NEA ,     161998,G1998       ,  0,17.5 ,0.15
NEA ,     162000,G2000       ,  0,19.4 ,0.15
NEA ,     162004,G2004       ,  0,18.2 ,0.15
NEA ,     162038,G2038       ,  0,16.6 ,0.15
NEA ,     162063,G2063       ,  0,19.0 ,0.15
NEA ,     162080,G2080       ,  0,19.9 ,0.15
NEA ,     162082,G2082       ,  0,18.9 ,0.15
NEA ,     162117,G2117       ,  0,19.1 ,0.15
NEA ,     162120,G2120       ,  0,20.6 ,0.15
NEA ,     162142,G2142       ,  0,18.8 ,0.15
NEA ,     162157,G2157       ,  0,19.7 ,0.15
NEA ,     162161,G2161       ,  0,17.3 ,0.15
NEA ,     162162,G2162       ,  0,19.9 ,0.15
NEA ,     162173,G2173       ,  0,19.3 ,0.15
NEA ,     162181,G2181       ,  0,18.2 ,0.15
NEA ,     162195,G2195       ,  0,19.4 ,0.15
NEA ,     162196,G2196       ,  0,18.7 ,0.15
NEA ,     162210,G2210       ,  0,19.1 ,0.15
NEA ,     162215,G2215       ,  0,19.0 ,0.15
NEA ,     162273,G2273       ,  0,17.2 ,0.15
NEA ,     162361,G2361       ,  0,20.2 ,0.15
NEA ,     162385,G2385       ,  0,18.4 ,0.15
NEA ,     162416,G2416       ,  0,21.7 ,0.15
NEA ,     162421,G2421       ,  0,18.0 ,0.15
NEA ,     162422,G2422       ,  0,20.6 ,0.15
NEA ,     162433,G2433       ,  0,19.2 ,0.15
NEA ,     162452,G2452       ,  0,18.3 ,0.15
NEA ,     162463,G2463       ,  0,17.8 ,0.15
NEA ,     162470,G2470       ,  0,19.3 ,0.15
NEA ,     162472,G2472       ,  0,19.1 ,0.15
NEA ,     162474,G2474       ,  0,18.5 ,0.15
NEA ,     162483,G2483       ,  0,17.5 ,0.15
NEA ,     162510,G2510       ,  0,17.5 ,0.15
NEA ,     162566,G2566       ,  0,15.7 ,0.15
NEA ,     162581,G2581       ,  0,18.6 ,0.15
NEA ,     162635,G2635       ,  0,16.5 ,0.15
NEA ,     162679,G2679       ,  0,17.7 ,0.15
NEA ,     162687,G2687       ,  0,19.2 ,0.15
NEA ,     162694,G2694       ,  0,19.6 ,0.15
NEA ,     162695,G2695       ,  0,20.1 ,0.15
NEA ,     162698,G2698       ,  0,18.2 ,0.15
NEA ,     162723,G2723       ,  0,17.6 ,0.15
NEA ,     162741,G2741       ,  0,17.3 ,0.15
NEA ,     162781,G2781       ,  0,17.6 ,0.15
NEA ,     162825,G2825       ,  0,18.0 ,0.15
NEA ,     162854,G2854       ,  0,19.1 ,0.15
NEA ,     162873,G2873       ,  0,19.1 ,0.15
NEA ,     162882,G2882       ,  0,18.8 ,0.15
NEA ,     162900,G2900       ,  0,15.8 ,0.15
NEA ,     162911,G2911       ,  0,19.2 ,0.15
NEA ,     162913,G2913       ,  0,18.3 ,0.15
NEA ,     162922,G2922       ,  0,20.8 ,0.15
NEA ,     162979,G2979       ,  0,18.0 ,0.15
NEA ,     162980,G2980       ,  0,16.7 ,0.15
NEA ,     162998,G2998       ,  0,17.9 ,0.15
NEA ,     163000,G3000       ,  0,19.2 ,0.15
NEA ,     163001,G3001       ,  0,18.2 ,0.15
NEA ,     163014,G3014       ,  0,17.5 ,0.15
NEA ,     163023,G3023       ,  0,19.3 ,0.15
NEA ,     163026,G3026       ,  0,21.0 ,0.15
NEA ,     163070,G3070       ,  0,18.3 ,0.15
