#Ast,Name,MPC,1st,HMag,G
NEA,2001 TX44,K01T44X,0,19.2,0.15
NEA,2001 VC76,K01V76C,0,19.7,0.15
NEA,2002 AJ129,K02AC9J,0,18.7,0.15
NEA,2002 DJ5,K02D05J,0,19.8,0.15
NEA,2002 DY3,K02D03Y,0,18.4,0.15
NEA,2002 FQ5,K02F05Q,0,20.5,0.15
NEA,2002 HF8,K02H08F,0,18.3,0.15
NEA,2002 JD109,K02JA9D,0,18.3,0.15
NEA,2002 JQ100,K02JA0Q,0,19.8,0.15
NEA,2002 JW15,K02J15W,0,20.2,0.15
NEA,2002 KK3,K02K03K,0,18.8,0.15
NEA,2002 KL3,K02K03L,0,18.1,0.15
NEA,2002 LS32,K02L32S,0,18.3,0.15
NEA,2002 LT38,K02L38T,0,20.5,0.15
NEA,2002 MQ3,K02M03Q,0,18.5,0.15
NEA,2002 NE71,K02N71E,0,19.2,0.15
NEA,2002 NW16,K02N16W,0,18.1,0.15
NEA,2002 OA22,K02O22A,0,19.4,0.15
NEA,2002 OS4,K02O04S,0,18.3,0.15
NEA,2002 PC130,K02PD0C,0,18.4,0.15
NEA,2002 PE130,K02PD0E,0,18.2,0.15
NEA,2002 PG80,K02P80G,0,18.5,0.15
NEA,2002 PO75,K02P75O,0,19.1,0.15
